epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,13304.7,0.37375,0.59351,0.22168,0.80953,0.97703,0.97392,0.98072,0.85406,0.97585,0.97275,0.98,0.79757,0.59501,0.97686,0.30618,0.974,6.33284e-05,6.33284e-05,6.33284e-05
80,13472.9,0.37568,0.59796,0.22376,0.81001,0.96927,0.96777,0.97656,0.85004,0.96847,0.96651,0.97593,0.78962,0.59329,0.99174,0.33031,0.96973,6.05762e-05,6.05762e-05,6.05762e-05
81,13641.3,0.37158,0.59367,0.22349,0.80927,0.97115,0.96962,0.97746,0.85086,0.96887,0.96731,0.97595,0.79226,0.59516,0.98061,0.31982,0.97247,5.7824e-05,5.7824e-05,5.7824e-05
82,13809.6,0.36801,0.58938,0.22044,0.80831,0.97452,0.97527,0.98022,0.85526,0.97405,0.97374,0.97948,0.79634,0.60064,0.9934,0.30999,0.9737,5.50718e-05,5.50718e-05,5.50718e-05
83,13977.2,0.36406,0.58533,0.21937,0.8072,0.97503,0.97347,0.98,0.85367,0.97452,0.97235,0.97928,0.79606,0.59148,1.00081,0.30665,0.96818,5.23196e-05,5.23196e-05,5.23196e-05
84,14143.1,0.36422,0.5828,0.2187,0.8064,0.97352,0.97525,0.98031,0.853,0.97306,0.97355,0.97947,0.79935,0.59558,0.9985,0.30772,0.9746,4.95674e-05,4.95674e-05,4.95674e-05
85,14308.6,0.3613,0.58069,0.21848,0.80685,0.97459,0.97415,0.98024,0.85411,0.97367,0.97287,0.97951,0.798,0.59649,0.99775,0.30459,0.97741,4.68152e-05,4.68152e-05,4.68152e-05
86,14476.2,0.36174,0.58058,0.21768,0.80681,0.97819,0.97528,0.9809,0.85352,0.97717,0.97417,0.98006,0.79673,0.59818,1.00007,0.29932,0.97407,4.4063e-05,4.4063e-05,4.4063e-05
87,14645.9,0.3586,0.57685,0.21541,0.80635,0.97732,0.97486,0.98104,0.85151,0.97653,0.97378,0.98027,0.79791,0.59988,1.01533,0.30377,0.97735,4.13108e-05,4.13108e-05,4.13108e-05
88,14811.3,0.35717,0.57606,0.21375,0.80515,0.97485,0.97874,0.9808,0.85447,0.97392,0.97693,0.98003,0.79726,0.59612,1.01526,0.30161,0.97681,3.85586e-05,3.85586e-05,3.85586e-05
89,14980.8,0.35759,0.57771,0.21427,0.806,0.97769,0.97511,0.98073,0.85355,0.97673,0.97383,0.98015,0.79774,0.59753,1.01999,0.30411,0.97317,3.58064e-05,3.58064e-05,3.58064e-05
90,15151.1,0.35411,0.57282,0.2133,0.80437,0.97625,0.97577,0.98124,0.85328,0.97546,0.97443,0.98067,0.7972,0.59994,1.02014,0.30025,0.97599,3.30542e-05,3.30542e-05,3.30542e-05
91,15322.3,0.32502,0.54848,0.1899,0.79332,0.97579,0.98008,0.98147,0.85447,0.9747,0.97899,0.98091,0.79699,0.5985,1.02048,0.29547,0.98053,3.0302e-05,3.0302e-05,3.0302e-05
92,15471.5,0.31583,0.53759,0.18499,0.79002,0.97425,0.97804,0.98099,0.85335,0.97304,0.97691,0.98043,0.79609,0.60416,1.03741,0.29905,0.9879,2.75498e-05,2.75498e-05,2.75498e-05
93,15622.2,0.31479,0.5353,0.18504,0.79027,0.97588,0.97514,0.98133,0.85285,0.97529,0.97464,0.98115,0.79743,0.60353,1.04321,0.29906,0.98515,2.47976e-05,2.47976e-05,2.47976e-05
94,15774.9,0.3131,0.53478,0.18447,0.78937,0.97496,0.97699,0.98164,0.85608,0.97441,0.97652,0.9816,0.79863,0.60165,1.04462,0.29899,0.98681,2.20454e-05,2.20454e-05,2.20454e-05
95,15927.3,0.30948,0.53254,0.18233,0.78875,0.97554,0.97692,0.98086,0.85546,0.97472,0.97555,0.98018,0.79716,0.60207,1.04782,0.29945,0.98658,1.92932e-05,1.92932e-05,1.92932e-05
96,16079.8,0.30576,0.52664,0.18182,0.7874,0.97533,0.97676,0.98076,0.8553,0.97476,0.97619,0.9803,0.79694,0.60227,1.05171,0.29767,0.98774,1.6541e-05,1.6541e-05,1.6541e-05
97,16232.5,0.30692,0.52959,0.18114,0.78759,0.97498,0.97635,0.98097,0.85416,0.97441,0.97578,0.98052,0.79793,0.60257,1.05006,0.29762,0.98982,1.37888e-05,1.37888e-05,1.37888e-05
98,16385,0.30352,0.52376,0.17946,0.78657,0.97526,0.97757,0.98076,0.85352,0.97469,0.977,0.98043,0.79631,0.60393,1.06153,0.29644,0.98692,1.10366e-05,1.10366e-05,1.10366e-05
99,16534.6,0.30384,0.52284,0.18,0.78676,0.97612,0.97696,0.98059,0.85327,0.97555,0.97639,0.98025,0.79627,0.60321,1.06886,0.29575,0.98892,8.2844e-06,8.2844e-06,8.2844e-06
100,16686.4,0.30077,0.52117,0.17803,0.78617,0.97684,0.97693,0.98062,0.85379,0.97576,0.97571,0.97993,0.79694,0.60226,1.0694,0.29657,0.98784,5.5322e-06,5.5322e-06,5.5322e-06
