epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1245.71,0.84857,0.56589,0.96068,0.83948,0.79238,0.86835,0.57114,1.18659,0.99329,1.1179,0.0003776,0.0003776,0.0003776
90,1259.88,0.84279,0.56914,0.95786,0.82855,0.81529,0.86743,0.56801,1.19406,0.99814,1.11613,0.0003728,0.0003728,0.0003728
91,1274.08,0.83123,0.56227,0.95308,0.8662,0.81849,0.87569,0.56328,1.23365,0.95441,1.13252,0.000368,0.000368,0.000368
92,1288.19,0.8499,0.56512,0.96058,0.82141,0.80715,0.85364,0.55749,1.24974,1.052,1.14672,0.0003632,0.0003632,0.0003632
93,1302.46,0.85934,0.57273,0.96639,0.87583,0.82534,0.87931,0.58647,1.19866,0.97523,1.09904,0.0003584,0.0003584,0.0003584
94,1316.65,0.84688,0.55519,0.96196,0.88177,0.83516,0.88016,0.59335,1.23344,1.01756,1.12821,0.0003536,0.0003536,0.0003536
95,1330.96,0.8333,0.54709,0.96259,0.85455,0.86331,0.89186,0.60541,1.17928,0.94652,1.11062,0.0003488,0.0003488,0.0003488
96,1345.2,0.81269,0.53969,0.9512,0.86181,0.86264,0.88382,0.6079,1.1897,1.02379,1.12134,0.000344,0.000344,0.000344
97,1359.5,0.80431,0.53303,0.95127,0.81123,0.82792,0.85242,0.57959,1.21127,0.94769,1.10988,0.0003392,0.0003392,0.0003392
98,1373.56,0.82693,0.53643,0.9538,0.77078,0.81555,0.85815,0.55995,1.22284,0.9562,1.10974,0.0003344,0.0003344,0.0003344
99,1387.54,0.81341,0.5334,0.95223,0.84557,0.86888,0.88704,0.5934,1.22631,0.9506,1.13531,0.0003296,0.0003296,0.0003296
100,1401.6,0.79364,0.52638,0.9405,0.8997,0.73534,0.84637,0.56593,1.20655,0.93355,1.1138,0.0003248,0.0003248,0.0003248
101,1415.77,0.78511,0.51922,0.93997,0.90921,0.70802,0.83592,0.57114,1.19566,0.96001,1.13053,0.00032,0.00032,0.00032
102,1430.12,0.77985,0.52157,0.93396,0.85592,0.79725,0.84325,0.58641,1.18774,0.95253,1.12213,0.0003152,0.0003152,0.0003152
103,1444.34,0.77892,0.5162,0.93329,0.82155,0.7946,0.87213,0.55989,1.20176,1.03879,1.12873,0.0003104,0.0003104,0.0003104
104,1458.61,0.79721,0.52993,0.93822,0.89575,0.79284,0.86348,0.55644,1.21776,1.06941,1.13943,0.0003056,0.0003056,0.0003056
105,1472.82,0.78957,0.52447,0.94084,0.86985,0.79686,0.8677,0.57105,1.20363,0.94614,1.11759,0.0003008,0.0003008,0.0003008
106,1487.17,0.77717,0.50543,0.93554,0.81236,0.8154,0.82049,0.56673,1.18739,0.95983,1.10553,0.000296,0.000296,0.000296
107,1501.37,0.78015,0.5127,0.93396,0.85403,0.80291,0.8632,0.57981,1.22364,0.99363,1.11832,0.0002912,0.0002912,0.0002912
108,1515.51,0.7606,0.49141,0.92749,0.86735,0.80615,0.86026,0.58796,1.20425,0.9903,1.11641,0.0002864,0.0002864,0.0002864
109,1529.83,0.7683,0.50667,0.931,0.88078,0.79754,0.83262,0.59121,1.22623,1.0811,1.14209,0.0002816,0.0002816,0.0002816
110,1544.1,0.75346,0.49907,0.92704,0.83828,0.8074,0.84714,0.5777,1.18713,1.0541,1.12996,0.0002768,0.0002768,0.0002768
111,1558.34,0.76795,0.50785,0.92467,0.88949,0.74362,0.84746,0.57316,1.19692,0.98474,1.12307,0.000272,0.000272,0.000272
112,1572.68,0.75408,0.49638,0.92257,0.89706,0.75336,0.86479,0.58306,1.17321,0.99452,1.10748,0.0002672,0.0002672,0.0002672
113,1586.84,0.75058,0.49608,0.9245,0.81804,0.86283,0.87684,0.60822,1.19226,1.02282,1.13122,0.0002624,0.0002624,0.0002624
114,1601.49,0.75498,0.48992,0.92445,0.82681,0.85113,0.8796,0.58176,1.19587,1.04094,1.13212,0.0002576,0.0002576,0.0002576
115,1615.81,0.74745,0.48553,0.92508,0.78908,0.87261,0.86913,0.5791,1.16522,1.00611,1.1083,0.0002528,0.0002528,0.0002528
116,1630.02,0.73719,0.48769,0.91873,0.90067,0.78788,0.90817,0.60862,1.20395,0.97955,1.12755,0.000248,0.000248,0.000248
117,1644.44,0.7237,0.47718,0.91213,0.89697,0.76761,0.84754,0.5744,1.21516,1.01286,1.13925,0.0002432,0.0002432,0.0002432
118,1658.72,0.73652,0.48341,0.91599,0.92316,0.78504,0.85145,0.58497,1.20922,0.99989,1.13784,0.0002384,0.0002384,0.0002384
119,1673.04,0.7419,0.48688,0.91789,0.83322,0.80592,0.86327,0.59542,1.1979,0.97517,1.12882,0.0002336,0.0002336,0.0002336
120,1687.36,0.71577,0.46837,0.91492,0.89785,0.74101,0.8453,0.56815,1.20302,1.03035,1.1376,0.0002288,0.0002288,0.0002288
121,1701.68,0.72276,0.4716,0.92086,0.9029,0.73384,0.8592,0.5726,1.21374,1.05214,1.13138,0.000224,0.000224,0.000224
122,1716.02,0.72645,0.46801,0.91412,0.85763,0.7521,0.82529,0.55327,1.21744,1.03954,1.1335,0.0002192,0.0002192,0.0002192
123,1730.46,0.71247,0.46571,0.91095,0.88028,0.79438,0.85549,0.59174,1.20901,0.97821,1.12852,0.0002144,0.0002144,0.0002144
124,1744.57,0.71078,0.45789,0.91226,0.86756,0.79828,0.84685,0.58029,1.23621,1.00331,1.14939,0.0002096,0.0002096,0.0002096
125,1758.56,0.70721,0.46512,0.90597,0.88745,0.79257,0.85038,0.58025,1.2232,1.02044,1.14472,0.0002048,0.0002048,0.0002048
126,1772.91,0.69722,0.45879,0.90748,0.89087,0.77365,0.84352,0.58815,1.19845,1.0278,1.12084,0.0002,0.0002,0.0002
127,1787.28,0.70057,0.46611,0.90474,0.90099,0.74938,0.80734,0.55962,1.21705,1.15742,1.13335,0.0001952,0.0001952,0.0001952
128,1801.69,0.70013,0.46399,0.90365,0.79366,0.79841,0.84059,0.57513,1.20279,1.12206,1.1252,0.0001904,0.0001904,0.0001904
129,1815.86,0.69233,0.45383,0.90376,0.89118,0.74956,0.86954,0.58742,1.20716,1.00733,1.12761,0.0001856,0.0001856,0.0001856
130,1829.94,0.68788,0.45278,0.90472,0.85634,0.80606,0.84751,0.59765,1.21497,1.04257,1.12497,0.0001808,0.0001808,0.0001808
131,1844.03,0.68088,0.44292,0.8999,0.92292,0.72275,0.84678,0.60454,1.21677,1.11561,1.12671,0.000176,0.000176,0.000176
132,1858.04,0.6887,0.45512,0.90571,0.90541,0.7163,0.84249,0.60369,1.1721,1.10833,1.10862,0.0001712,0.0001712,0.0001712
133,1872.03,0.68309,0.44868,0.90085,0.88235,0.73829,0.84478,0.5988,1.20568,1.06599,1.12368,0.0001664,0.0001664,0.0001664
134,1885.95,0.66786,0.44001,0.89532,0.86814,0.75431,0.84187,0.582,1.21346,1.0829,1.12984,0.0001616,0.0001616,0.0001616
135,1899.91,0.67191,0.44971,0.89948,0.90723,0.71478,0.8234,0.57221,1.21033,1.15492,1.1308,0.0001568,0.0001568,0.0001568
136,1913.79,0.66581,0.43235,0.89639,0.91545,0.72756,0.84096,0.56859,1.19577,1.08993,1.12117,0.000152,0.000152,0.000152
137,1927.7,0.6588,0.43602,0.89299,0.92708,0.7175,0.85038,0.58432,1.19254,1.06566,1.11987,0.0001472,0.0001472,0.0001472
138,1941.7,0.68082,0.45155,0.89952,0.91547,0.7047,0.8378,0.58416,1.17691,1.16825,1.12373,0.0001424,0.0001424,0.0001424
139,1955.73,0.65611,0.43192,0.89332,0.91905,0.73903,0.83186,0.60018,1.17908,1.0295,1.11758,0.0001376,0.0001376,0.0001376
140,1969.8,0.66277,0.44001,0.88992,0.92119,0.7337,0.85183,0.58085,1.20355,1.01745,1.13045,0.0001328,0.0001328,0.0001328
141,1984.58,0.62866,0.3668,0.87427,0.85694,0.73305,0.81799,0.54763,1.23359,1.08131,1.1468,0.000128,0.000128,0.000128
142,1998.86,0.62873,0.37226,0.87257,0.77428,0.78108,0.84107,0.56755,1.22466,1.14478,1.15147,0.0001232,0.0001232,0.0001232
143,2013.06,0.59131,0.34984,0.86311,0.90577,0.70471,0.85304,0.59431,1.22701,1.16992,1.15506,0.0001184,0.0001184,0.0001184
144,2027.22,0.58753,0.35442,0.86505,0.93238,0.69884,0.86698,0.58775,1.21461,1.13959,1.14095,0.0001136,0.0001136,0.0001136
145,2041.45,0.57351,0.33919,0.85855,0.77854,0.8227,0.86874,0.57746,1.24088,1.08195,1.14612,0.0001088,0.0001088,0.0001088
146,2055.71,0.56601,0.33421,0.85564,0.80393,0.82227,0.87073,0.57533,1.22764,1.13364,1.15572,0.000104,0.000104,0.000104
147,2069.73,0.56332,0.33788,0.85989,0.91558,0.7131,0.82485,0.57214,1.20162,1.15308,1.14318,9.92e-05,9.92e-05,9.92e-05
148,2083.76,0.55855,0.33826,0.85211,0.91688,0.71646,0.83701,0.57815,1.19993,1.13725,1.14147,9.44e-05,9.44e-05,9.44e-05
149,2098.03,0.55428,0.32873,0.84958,0.87368,0.81023,0.85278,0.57175,1.1945,1.08792,1.1415,8.96e-05,8.96e-05,8.96e-05
150,2112.23,0.55302,0.32646,0.8542,0.92172,0.70031,0.86027,0.584,1.19892,1.16778,1.14184,8.48e-05,8.48e-05,8.48e-05
